id,tenant_id,tenant_name,tenant_shortcode,onedrive_folder,is_active,created_at,updated_at,asana_task_id
1,marsill-pty-ltd,Marsill Pty Ltd,mkK34,Dexter's files - Bookkeeping & Accounting\Marsill Pty Ltd t_a Air-Conditioning Online\BAS & IAS\IAS,true,,2026-04-07 07:56:05.641946+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1204960870628789
2,wj-dental-pty-ltd,WJ Dental PTY LTD,szMH9,Dexter's files - Bookkeeping & Accounting\WJ Dental Pty Ltd\BAS & IAS\IAS,true,,2026-04-07 07:56:34.425864+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1208279619841992
3,trupanion-au-pty-ltd,Trupanion Australia Pty Ltd,JsKk3,Dexter's files - Bookkeeping & Accounting\Trupanion Australia Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:05.834817+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1185001186682096
4,sydney-region-corp,Sydney Region Aboriginal Corporation,pkcmv,Dexter's files - Bookkeeping & Accounting\Sydney Region Aboriginal Corporation\BAS & IAS\IAS,true,,2026-03-31 01:06:14.00769+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1187552995194527
5,bd-plus-pty,BD PLUS Pty Ltd,rm15T,Dexter's files - Bookkeeping & Accounting\BD Plus Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:17.648668+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1188338470517162
6,tsm-pty-ltd,TSM (The Service Manager) Pty Ltd,zhmQK,Dexter's files - Bookkeeping & Accounting\TSM The Service Manager\BAS & IAS\IAS,true,,2026-03-31 01:06:21.242296+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1187099860745007
7,chroniclehq-pty-ltd,ChronicleHQ Pty Ltd,BHc5z,Dexter's files - Bookkeeping & Accounting\ChronicleHQ Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:24.677296+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1204576118407072
8,richbox-pty-ltd,Richbox Pty Ltd,5wJCJ,Dexter's files - Bookkeeping & Accounting\RichBox Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:27.975405+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1205892753683567
9,hansa-capital-pty-ltd,Hansa Capital Pty Ltd,Dg4CX,Dexter's files - Bookkeeping & Accounting\Hansa Capital Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:31.55926+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1207556946378395
10,earjobs-au,Earjobs Australia l ELLIS ECOMMERCE PTY LTD,2sdcL,Dexter's files - Bookkeeping & Accounting\Ellis Group (Earjobs)\BAS & IAS\IAS,true,,2026-03-31 01:06:35.011126+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1194009288068526
11,3forward,3Forward,c4d40,Dexter's files - Bookkeeping & Accounting\3Forward Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:06:38.459235+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1208898673584383
12,stropro-ops-pty-ltd,StroPro Operations Pty Ltd,h-4cX,Dexter's files - Bookkeeping & Accounting\Stropro Operations Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:07:02.813888+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1208890109704823
13,ish-dental-pty-ltd,Ish Dental Pty Ltd b/n Totalcare Dentistry,dQHG3,Dexter's files - Bookkeeping & Accounting\Ish Dental Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:07:06.227761+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1203298400513808
14,two-by-four-cafe,TWO BY FOUR CAFE PTY LTD,6H2j3,Dexter's files - Bookkeeping & Accounting\Two By Four Cafe Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:07:09.58243+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1205706126610727
15,bellinger-asset,Bellinger Asset Management Pty Limited,mjv8K,Dexter's files - Bookkeeping & Accounting\Bellinger Group\Bellinger Asset Management Pty Limited\BAS & IAS\IAS,true,,2026-03-31 01:07:14.043471+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1205282894389418
16,capspace-investments,Capspace Investments Pty Ltd,qDRyk,Dexter's files - Bookkeeping & Accounting\Capspace Holdings Pty Ltd\BAS & IAS\IAS,true,,2026-03-31 01:07:17.168461+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1205178479532111
17,bellinger-credit-pty,Bellinger Credit Pty Limited,v2NQ4,Dexter's files - Bookkeeping & Accounting\Bellinger Group\Bellinger Credit Pty Limited\BAS & IAS\IAS,true,,2026-03-31 01:07:20.312097+00,https://app.asana.com/1/96229807699919/project/1187091652889178/task/1205282894389428
