XeroClientName,Status,ToAutomate,Frequency,PAYGI,GSTAccountingMethod,AsanaTaskID,OneDrivePath
Livewire Markets Pty Ltd,,x,Quarterly,Monthly,Accrual Basis,1199927249159375,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Livewire Markets Pty Ltd\BAS & IAS\BAS\
PELAN PTY. LIMITED,Inactive,,Quarterly,,,,
THE TRUSTEE FOR SHEBELING TRUST,Inactive,,Quarterly,,,,
Sydney Region Aboriginal Corporation,,,Quarterly,,Cash Basis,,
Trupanion Australia Pty Ltd,,,Quarterly,Monthly,Accrual Basis,1187375339437945,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Trupanion Australia Pty Ltd\BAS _ IAS
ISH DENTAL PTY LTD,,,Quarterly,,Cash Basis,1203204552763226,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Ish Dental Pty Ltd\BAS & IAS\BAS\BAS Quarterly
DEXTEROUS GROUP PTY LIMITED,,,Quarterly,Monthly,,1187378245205104,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Tax Only Client\Jobkeeper\Dexterous Group\BAS\FY2023
TSM (THE SERVICE MANAGER) PTY LTD,,,Quarterly,Monthly,,1188585964172193,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\TSM The Service Manager\BAS\BAS\FY 2023
ELLIS ECOMMERCE PTY LTD,,,Quarterly,Monthly,Cash Basis,1198488686265734,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Ellis Group (Earjobs)\BAS _ IAS\BAS\FY 2023\
TWO BY FOUR CAFE PTY LTD,,,Quarterly,Quarterly,Cash Basis,1202543371519657,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Z Archive\Precise Old Clients\Two By Four Cafe Pty Ltd\BAS & IAS\BAS\FY2023
MARSILL PTY LTD,,,Quarterly,Quarterly,Accrual Basis,1199336779011613,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Marsill Pty Ltd t_a Air-Conditioning Online\BAS & IAS\
HARMONY BUILD PTY LTD,,,Quarterly,Quarterly,Cash Basis,1178198708780852,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Harmony Build\BAS & IAS\FY 2023
FINTECH EQUITY PTY LTD,,,Quarterly,No Payroll,Cash Basis,1204000247108068,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Livewire Markets Pty Ltd\Fintech Equity Pty Ltd\BAS
THE TRUSTEE FOR SALMON FAMILY TRUST NO 2,,,Quarterly,No Payroll,Accrual Basis,1201959349513598,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Kinala Group\Kyrod ATF Salmon Family Trust 2\BAS & IAS\BAS
"MILLER,JOLYNN",,,Quarterly,No Payroll,Cash Basis,1178234112746798,"C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Miller, Jolynn t-a Velvet Rope Events\BAS _ IAS"
THE TRUSTEE FOR LYNDCOTE FAMILY TRUST,,,Quarterly,Quarterly,Accrual Basis,1199683369728085,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Lyndcote Family Trust and Lyndcote Pty Ltd\BAS & IAS\Lyndcote Family Trust\
EMMA MULHOLLAND ON HOLIDAY PTY LTD,,,Quarterly,Quarterly,Cash Basis,1202113534103196,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Emma Mulholland on Holiday Pty Ltd\BAS & IAS\BAS
DOUGHBOY PIZZA FRANCHISING PTY LTD,,,Quarterly,No Payroll,Cash Basis,1177350282594138,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Doughboys Group\Doughboy Pizza Franchising Pty Ltd\BAS _ IAS\
HUNT CIVIL PTY LTD,,,Quarterly,Monthly,Cash Basis,1191608745788796,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Hunt Civil Pty Ltd\BAS_IAS\BAS\
SUPERFOODS AUSTRALIA PTY LTD,,,Quarterly,No Payroll,Cash Basis,1205429444236217,C:\Users\TimothyMilanay\OneDrive - Dexterous Group\Bookkeeping & Accounting\Superfoods Australia Pty Ltd\BAS & IAS\BAS\BAS Quarterly\FY2024
3forward,,,Quarterly,Monthly,Accrual Basis,,
WJ Dental Pty Ltd,,,Quarterly,,Cash Basis,,
Bellinger Asset Management Pty Limited,,,Quarterly,,Cash Basis,,
Hansa Capital Pty Limited,,,Quarterly,,Accrual Basis,,
LYNDCOTE PTY LIMITED,,,Quarterly,No Payroll,Cash Basis,,
Stropro Operations Pty Ltd,,,Quarterly,,Cash Basis,,
THE TRUSTEE FOR CAPSPACE TRUST 2024-1,,,Quarterly,No Payroll,Accrual Basis,,
Bellinger Credit Pty Limited,,,Quarterly,,Cash Basis,,
Capspace Funds Management Pty Ltd,,,Quarterly,,Accrual Basis,,
CAPSPACE PTY LTD,,,Quarterly,,Accrual Basis,,
CATO Location Services (QLD) Pty Ltd,,,Quarterly,No Payroll,Cash Basis,,
